A,B,Addition,Subtraction,Multiplication,Division,Sin(Addition),Cos(Addition),Sqrt(Addition),2^Addition,Log(Addition),ODD_OR_EVEN(CEIL(A+B))
3.15,-1.3,1.85,4.45,-4.10,-2.42,0.96,-0.28,1.36,3.61,0.27,Even
-0.8,-8.91,-9.71,8.11,7.13,0.09,0.28,-0.96,-1.00,0.00,-1.00,Odd
-4.29,3.04,-1.25,-7.33,-13.04,-1.41,-0.95,0.32,-1.00,0.42,-1.00,Odd
-0.07,-8.21,-8.28,8.14,0.57,0.01,-0.91,-0.41,-1.00,0.00,-1.00,Even
5.1,-6.08,-0.98,11.18,-31.01,-0.84,-0.83,0.56,-1.00,0.51,-1.00,Even
3.7,-4.28,-0.58,7.98,-15.84,-0.86,-0.55,0.84,-1.00,0.67,-1.00,Even
-3.6,9.6,6.00,-13.20,-34.56,-0.38,-0.28,0.96,2.45,64.00,0.78,Even
5.84,-6.48,-0.64,12.32,-37.84,-0.90,-0.60,0.80,-1.00,0.64,-1.00,Even
5.37,-2.17,3.20,7.54,-11.65,-2.47,-0.06,-1.00,1.79,9.19,0.51,Even
3.7,-4.48,-0.78,8.18,-16.58,-0.83,-0.70,0.71,-1.00,0.58,-1.00,Even
6.54,3,9.54,3.54,19.62,2.18,-0.11,-0.99,3.09,744.43,0.98,Even
1.41,-5.24,-3.83,6.65,-7.39,-0.27,0.64,-0.77,-1.00,0.07,-1.00,Odd
9.74,-3.6,6.14,13.34,-35.06,-2.71,-0.14,0.99,2.48,70.52,0.79,Odd
3.33,-6.33,-3.00,9.66,-21.08,-0.53,-0.14,-0.99,-1.00,0.13,-1.00,Odd
6.4,2.78,9.18,3.62,17.79,2.30,0.24,-0.97,3.03,580.04,0.96,Even
-5.77,-0.36,-6.13,-5.41,2.08,16.03,0.15,0.99,-1.00,0.01,-1.00,Even
6.34,0.65,6.99,5.69,4.12,9.75,0.65,0.76,2.64,127.12,0.84,Odd
-4.77,5.71,0.94,-10.48,-27.24,-0.84,0.81,0.59,0.97,1.92,-0.03,Odd
5.73,5.92,11.65,-0.19,33.92,0.97,-0.79,0.61,3.41,3213.66,1.07,Even
-9.92,4.99,-4.93,-14.91,-49.50,-1.99,0.98,0.22,-1.00,0.03,-1.00,Even
-6.57,-8.24,-14.81,1.67,54.14,0.80,-0.78,-0.62,-1.00,0.00,-1.00,Even
3.64,7.2,10.84,-3.56,26.21,0.51,-0.99,-0.15,3.29,1833.01,1.04,Odd
7.82,-1.84,5.98,9.66,-14.39,-4.25,-0.30,0.95,2.45,63.12,0.78,Even
-1.64,-4.29,-5.93,2.65,7.04,0.38,0.35,0.94,-1.00,0.02,-1.00,Odd
3.8,1.55,5.35,2.25,5.89,2.45,-0.80,0.60,2.31,40.79,0.73,Even
-9.5,1.64,-7.86,-11.14,-15.58,-5.79,-1.00,-0.01,-1.00,0.00,-1.00,Odd
9.41,8.69,18.10,0.72,81.77,1.08,-0.68,0.73,4.25,280958.98,1.26,Odd
9.17,-3.92,5.25,13.09,-35.95,-2.34,-0.86,0.51,2.29,38.05,0.72,Even
-7.04,6.96,-0.08,-14.00,-49.00,-1.01,-0.08,1.00,-1.00,0.95,-1.00,Even
-3.14,4.17,1.03,-7.31,-13.09,-0.75,0.86,0.51,1.01,2.04,0.01,Even
-5.42,8.03,2.61,-13.45,-43.52,-0.67,0.51,-0.86,1.62,6.11,0.42,Odd
6.64,-0.14,6.50,6.78,-0.93,-47.43,0.22,0.98,2.55,90.51,0.81,Odd
9.07,7.07,16.14,2.00,64.12,1.28,-0.42,-0.91,4.02,72214.45,1.21,Odd
-1.86,4.02,2.16,-5.88,-7.48,-0.46,0.83,-0.56,1.47,4.47,0.33,Odd
7.25,4.37,11.62,2.88,31.68,1.66,-0.81,0.58,3.41,3147.52,1.07,Even
-0.67,-3.92,-4.59,3.25,2.63,0.17,0.99,-0.12,-1.00,0.04,-1.00,Even
-3.62,-1.95,-5.57,-1.67,7.06,1.86,0.65,0.76,-1.00,0.02,-1.00,Odd
5.65,5.95,11.60,-0.30,33.62,0.95,-0.82,0.57,3.41,3104.19,1.06,Even
-5.24,-0.49,-5.73,-4.75,2.57,10.69,0.53,0.85,-1.00,0.02,-1.00,Odd
0.11,-5.19,-5.08,5.30,-0.57,-0.02,0.93,0.36,-1.00,0.03,-1.00,Odd
-9.89,-0.51,-10.40,-9.38,5.04,19.39,0.83,-0.56,-1.00,0.00,-1.00,Even
6.38,-0.05,6.33,6.43,-0.32,-127.60,0.05,1.00,2.52,80.45,0.80,Odd
2.68,-3.21,-0.53,5.89,-8.60,-0.83,-0.51,0.86,-1.00,0.69,-1.00,Even
-7.41,1.28,-6.13,-8.69,-9.48,-5.79,0.15,0.99,-1.00,0.01,-1.00,Even
-3.85,5.76,1.91,-9.61,-22.18,-0.67,0.94,-0.33,1.38,3.76,0.28,Even
-4.16,-9.86,-14.02,5.70,41.02,0.42,-0.99,0.12,-1.00,0.00,-1.00,Even
9.88,-9.76,0.12,19.64,-96.43,-1.01,0.12,0.99,0.35,1.09,-0.92,Odd
-3.64,-7.15,-10.79,3.51,26.03,0.51,0.98,-0.20,-1.00,0.00,-1.00,Even
0.91,9.7,10.61,-8.79,8.83,0.09,-0.93,-0.38,3.26,1562.89,1.03,Odd
-4.99,9.64,4.65,-14.63,-48.10,-0.52,-1.00,-0.06,2.16,25.11,0.67,Odd
5.33,-4.96,0.37,10.29,-26.44,-1.07,0.36,0.93,0.61,1.29,-0.43,Odd
-1.44,4.23,2.79,-5.67,-6.09,-0.34,0.34,-0.94,1.67,6.92,0.45,Odd
6.81,7.17,13.98,-0.36,48.83,0.95,0.99,0.16,3.74,16158.44,1.15,Even
3.19,2.33,5.52,0.86,7.43,1.37,-0.69,0.72,2.35,45.89,0.74,Even
-0.75,1.71,0.96,-2.46,-1.28,-0.44,0.82,0.57,0.98,1.95,-0.02,Odd
5.02,4.05,9.07,0.97,20.33,1.24,0.35,-0.94,3.01,537.45,0.96,Even
9.13,-10,-0.87,19.13,-91.30,-0.91,-0.76,0.64,-1.00,0.55,-1.00,Even
3.87,-7.96,-4.09,11.83,-30.81,-0.49,0.81,-0.58,-1.00,0.06,-1.00,Even
6.57,-4.89,1.68,11.46,-32.13,-1.34,0.99,-0.11,1.30,3.20,0.23,Even
0.46,-9.84,-9.38,10.30,-4.53,-0.05,-0.04,-1.00,-1.00,0.00,-1.00,Odd
0.25,5.83,6.08,-5.58,1.46,0.04,-0.20,0.98,2.47,67.65,0.78,Odd
-3,9.61,6.61,-12.61,-28.83,-0.31,0.32,0.95,2.57,97.68,0.82,Odd
-9.41,7.8,-1.61,-17.21,-73.40,-1.21,-1.00,-0.04,-1.00,0.33,-1.00,Odd
-9.05,-0.95,-10.00,-8.10,8.60,9.53,0.54,-0.84,-1.00,0.00,-1.00,Even
-8.75,5.87,-2.88,-14.62,-51.36,-1.49,-0.26,-0.97,-1.00,0.14,-1.00,Even
2.3,-3.43,-1.13,5.73,-7.89,-0.67,-0.90,0.43,-1.00,0.46,-1.00,Odd
3.8,-2.61,1.19,6.41,-9.92,-1.46,0.93,0.37,1.09,2.28,0.08,Even
-6.19,3.54,-2.65,-9.73,-21.91,-1.75,-0.47,-0.88,-1.00,0.16,-1.00,Even
-9.24,-0.02,-9.26,-9.22,0.18,462.00,-0.16,-0.99,-1.00,0.00,-1.00,Odd
-2.61,6.63,4.02,-9.24,-17.30,-0.39,-0.77,-0.64,2.00,16.22,0.60,Odd
-2.59,1.41,-1.18,-4.00,-3.65,-1.84,-0.92,0.38,-1.00,0.44,-1.00,Odd
3.22,2.57,5.79,0.65,8.28,1.25,-0.47,0.88,2.41,55.33,0.76,Even
-8.69,9.97,1.28,-18.66,-86.64,-0.87,0.96,0.29,1.13,2.43,0.11,Even
8.6,-3.44,5.16,12.04,-29.58,-2.50,-0.90,0.43,2.27,35.75,0.71,Even
-2.96,3.44,0.48,-6.40,-10.18,-0.86,0.46,0.89,0.69,1.39,-0.32,Odd
4.4,7.67,12.07,-3.27,33.75,0.57,-0.48,0.88,3.47,4299.64,1.08,Odd
4.67,2.8,7.47,1.87,13.08,1.67,0.93,0.37,2.73,177.29,0.87,Even
2.1,-3.13,-1.03,5.23,-6.57,-0.67,-0.86,0.51,-1.00,0.49,-1.00,Odd
8.46,7.03,15.49,1.43,59.47,1.20,0.22,-0.98,3.94,46020.85,1.19,Even
5.69,3.55,9.24,2.14,20.20,1.60,0.18,-0.98,3.04,604.67,0.97,Even
-4.56,7.57,3.01,-12.13,-34.52,-0.60,0.13,-0.99,1.73,8.06,0.48,Even
3.99,-7.91,-3.92,11.90,-31.56,-0.50,0.70,-0.71,-1.00,0.07,-1.00,Odd
6.85,-8.32,-1.47,15.17,-56.99,-0.82,-0.99,0.10,-1.00,0.36,-1.00,Odd
-7.01,8.35,1.34,-15.36,-58.53,-0.84,0.97,0.23,1.16,2.53,0.13,Even
-1.07,-3.87,-4.94,2.80,4.14,0.28,0.97,0.23,-1.00,0.03,-1.00,Even
-9.79,7.97,-1.82,-17.76,-78.03,-1.23,-0.97,-0.25,-1.00,0.28,-1.00,Odd
7.43,-2.41,5.02,9.84,-17.91,-3.08,-0.95,0.30,2.24,32.45,0.70,Even
-2.28,7.95,5.67,-10.23,-18.13,-0.29,-0.58,0.82,2.38,50.91,0.75,Even
6.43,3.65,10.08,2.78,23.47,1.76,-0.61,-0.79,3.17,1082.39,1.00,Odd
4.93,-4.92,0.01,9.85,-24.26,-1.00,0.01,1.00,0.10,1.01,-2.00,Odd
2.11,-5.71,-3.60,7.82,-12.05,-0.37,0.44,-0.90,-1.00,0.08,-1.00,Odd
-8.16,6.17,-1.99,-14.33,-50.35,-1.32,-0.91,-0.41,-1.00,0.25,-1.00,Odd
-2.78,-8.36,-11.14,5.58,23.24,0.33,0.99,0.14,-1.00,0.00,-1.00,Odd
-7.61,4.75,-2.86,-12.36,-36.15,-1.60,-0.28,-0.96,-1.00,0.14,-1.00,Even
-0.3,2.98,2.68,-3.28,-0.89,-0.10,0.45,-0.90,1.64,6.41,0.43,Odd
6.41,4.13,10.54,2.28,26.47,1.55,-0.90,-0.44,3.25,1488.87,1.02,Odd
-9.8,2.87,-6.93,-12.67,-28.13,-3.41,-0.60,0.80,-1.00,0.01,-1.00,Even
8.36,8.3,16.66,0.06,69.39,1.01,-0.81,-0.58,4.08,103552.29,1.22,Odd
9.58,7.4,16.98,2.18,70.89,1.29,-0.96,-0.29,4.12,129267.49,1.23,Odd
-6.8,-7.19,-13.99,0.39,48.89,0.95,-0.99,0.15,-1.00,0.00,-1.00,Odd
-3.48,1.61,-1.87,-5.09,-5.60,-2.16,-0.96,-0.29,-1.00,0.27,-1.00,Odd
-0.66,-8.53,-9.19,7.87,5.63,0.08,-0.23,-0.97,-1.00,0.00,-1.00,Odd
6.37,-6.55,-0.18,12.92,-41.72,-0.97,-0.18,0.98,-1.00,0.88,-1.00,Even
5.38,-7.34,-1.96,12.72,-39.49,-0.73,-0.93,-0.38,-1.00,0.26,-1.00,Odd
4.68,-1.85,2.83,6.53,-8.66,-2.53,0.31,-0.95,1.68,7.11,0.45,Odd
3.22,-8.35,-5.13,11.57,-26.89,-0.39,0.91,0.41,-1.00,0.03,-1.00,Odd
9.94,6.82,16.76,3.12,67.79,1.46,-0.87,-0.50,4.09,110984.60,1.22,Odd
-6.44,-3.06,-9.50,-3.38,19.71,2.10,0.08,-1.00,-1.00,0.00,-1.00,Odd
-0.45,-4.35,-4.80,3.90,1.96,0.10,1.00,0.09,-1.00,0.04,-1.00,Even
6.03,1.57,7.60,4.46,9.47,3.84,0.97,0.25,2.76,194.01,0.88,Even
9.51,7.51,17.02,2.00,71.42,1.27,-0.97,-0.26,4.13,132901.70,1.23,Even
0.37,2.89,3.26,-2.52,1.07,0.13,-0.12,-0.99,1.81,9.58,0.51,Even
-2.36,8.4,6.04,-10.76,-19.82,-0.28,-0.24,0.97,2.46,65.80,0.78,Odd
-3.52,8.54,5.02,-12.06,-30.06,-0.41,-0.95,0.30,2.24,32.45,0.70,Even
8.3,7.22,15.52,1.08,59.93,1.15,0.19,-0.98,3.94,46987.85,1.19,Even
-1.66,-7.11,-8.77,5.45,11.80,0.23,-0.61,-0.79,-1.00,0.00,-1.00,Even
0.9,-4.69,-3.79,5.59,-4.22,-0.19,0.60,-0.80,-1.00,0.07,-1.00,Odd
1.01,-5.85,-4.84,6.86,-5.91,-0.17,0.99,0.13,-1.00,0.03,-1.00,Even
2.95,7.22,10.17,-4.27,21.30,0.41,-0.68,-0.73,3.19,1152.06,1.01,Odd
3.23,6.24,9.47,-3.01,20.16,0.52,-0.05,-1.00,3.08,709.18,0.98,Even
-5.26,-4.67,-9.93,-0.59,24.56,1.13,0.48,-0.88,-1.00,0.00,-1.00,Odd
1.41,-5.14,-3.73,6.55,-7.25,-0.27,0.56,-0.83,-1.00,0.08,-1.00,Odd
1.67,2.65,4.32,-0.98,4.43,0.63,-0.92,-0.38,2.08,19.97,0.64,Odd
2.3,8.34,10.64,-6.04,19.18,0.28,-0.94,-0.35,3.26,1595.73,1.03,Odd
8.2,-0.8,7.40,9.00,-6.56,-10.25,0.90,0.44,2.72,168.90,0.87,Even
-9.7,-1.33,-11.03,-8.37,12.90,7.29,1.00,0.03,-1.00,0.00,-1.00,Odd
8.33,-1.62,6.71,9.95,-13.49,-5.14,0.41,0.91,2.59,104.69,0.83,Odd
3.05,9.14,12.19,-6.09,27.88,0.33,-0.37,0.93,3.49,4672.57,1.09,Odd
6.45,0.22,6.67,6.23,1.42,29.32,0.38,0.93,2.58,101.83,0.82,Odd
-8.03,5.26,-2.77,-13.29,-42.24,-1.53,-0.36,-0.93,-1.00,0.15,-1.00,Even
-2.82,8.24,5.42,-11.06,-23.24,-0.34,-0.76,0.65,2.33,42.81,0.73,Even
-7.71,-9.03,-16.74,1.32,69.62,0.85,0.86,-0.51,-1.00,0.00,-1.00,Even
-8.32,2.73,-5.59,-11.05,-22.71,-3.05,0.64,0.77,-1.00,0.02,-1.00,Odd
-1.28,-5.83,-7.11,4.55,7.46,0.22,-0.74,0.68,-1.00,0.01,-1.00,Odd
0.41,-6.32,-5.91,6.73,-2.59,-0.06,0.36,0.93,-1.00,0.02,-1.00,Odd
-7.79,-0.36,-8.15,-7.43,2.80,21.64,-0.96,-0.29,-1.00,0.00,-1.00,Even
-0.38,-4.28,-4.66,3.90,1.63,0.09,1.00,-0.05,-1.00,0.04,-1.00,Even
-9.23,0.44,-8.79,-9.67,-4.06,-20.98,-0.59,-0.81,-1.00,0.00,-1.00,Even
-6.89,-6.93,-13.82,0.04,47.75,0.99,-0.95,0.31,-1.00,0.00,-1.00,Odd
3.27,-8.59,-5.32,11.86,-28.09,-0.38,0.82,0.57,-1.00,0.03,-1.00,Odd
8.79,2.84,11.63,5.95,24.96,3.10,-0.81,0.59,3.41,3169.41,1.07,Even
0.08,9.09,9.17,-9.01,0.73,0.01,0.25,-0.97,3.03,576.03,0.96,Even
0.95,-5.36,-4.41,6.31,-5.09,-0.18,0.95,-0.30,-1.00,0.05,-1.00,Even
-8.16,-6.99,-15.15,-1.17,57.04,1.17,-0.53,-0.85,-1.00,0.00,-1.00,Odd
5.62,-3.33,2.29,8.95,-18.71,-1.69,0.75,-0.66,1.51,4.89,0.36,Odd
2.63,3.71,6.34,-1.08,9.76,0.71,0.06,1.00,2.52,81.01,0.80,Odd
-6.78,-1.22,-8.00,-5.56,8.27,5.56,-0.99,-0.15,-1.00,0.00,-1.00,Even
-6.93,3.86,-3.07,-10.79,-26.75,-1.80,-0.07,-1.00,-1.00,0.12,-1.00,Odd
-1.95,-9.35,-11.30,7.40,18.23,0.21,0.95,0.30,-1.00,0.00,-1.00,Odd
9.47,9.26,18.73,0.21,87.69,1.02,-0.12,0.99,4.33,434802.29,1.27,Odd
-0.76,-6.27,-7.03,5.51,4.77,0.12,-0.68,0.73,-1.00,0.01,-1.00,Odd
-7.48,4.7,-2.78,-12.18,-35.16,-1.59,-0.35,-0.94,-1.00,0.15,-1.00,Even
7.22,9.32,16.54,-2.10,67.29,0.77,-0.74,-0.67,4.07,95287.54,1.22,Odd
8.58,-1.86,6.72,10.44,-15.96,-4.61,0.42,0.91,2.59,105.42,0.83,Odd
-2.63,4.38,1.75,-7.01,-11.52,-0.60,0.98,-0.18,1.32,3.36,0.24,Even
2.86,7.4,10.26,-4.54,21.16,0.39,-0.74,-0.67,3.20,1226.22,1.01,Odd
-8.63,7.65,-0.98,-16.28,-66.02,-1.13,-0.83,0.56,-1.00,0.51,-1.00,Even
-7.78,-8.74,-16.52,0.96,68.00,0.89,0.73,-0.69,-1.00,0.00,-1.00,Even
-0.09,2.36,2.27,-2.45,-0.21,-0.04,0.77,-0.64,1.51,4.82,0.36,Odd
7.13,-2.61,4.52,9.74,-18.61,-2.73,-0.98,-0.19,2.13,22.94,0.66,Odd
-9.18,1.85,-7.33,-11.03,-16.98,-4.96,-0.87,0.50,-1.00,0.01,-1.00,Odd
-6.04,-7.51,-13.55,1.47,45.36,0.80,-0.83,0.55,-1.00,0.00,-1.00,Odd
0.96,5.77,6.73,-4.81,5.54,0.17,0.43,0.90,2.59,106.15,0.83,Odd
1.15,-4.64,-3.49,5.79,-5.34,-0.25,0.34,-0.94,-1.00,0.09,-1.00,Odd
9.69,-6.26,3.43,15.95,-60.66,-1.55,-0.28,-0.96,1.85,10.78,0.54,Even
3.47,-1.95,1.52,5.42,-6.77,-1.78,1.00,0.05,1.23,2.87,0.18,Even
3.21,0.99,4.20,2.22,3.18,3.24,-0.87,-0.49,2.05,18.38,0.62,Odd
1.49,2.35,3.84,-0.86,3.50,0.63,-0.64,-0.77,1.96,14.32,0.58,Even
3.13,1.26,4.39,1.87,3.94,2.48,-0.95,-0.32,2.10,20.97,0.64,Odd
-3.39,-5.87,-9.26,2.48,19.90,0.58,-0.16,-0.99,-1.00,0.00,-1.00,Odd
8.41,7.05,15.46,1.36,59.29,1.19,0.25,-0.97,3.93,45073.75,1.19,Even
8.15,-2.58,5.57,10.73,-21.03,-3.16,-0.65,0.76,2.36,47.50,0.75,Even
-7.79,5.73,-2.06,-13.52,-44.64,-1.36,-0.88,-0.47,-1.00,0.24,-1.00,Even
-7.17,-9.83,-17.00,2.66,70.48,0.73,0.96,-0.28,-1.00,0.00,-1.00,Odd
9.63,-0.62,9.01,10.25,-5.97,-15.53,0.40,-0.92,3.00,515.56,0.95,Even
3.02,9.54,12.56,-6.52,28.81,0.32,-0.01,1.00,3.54,6038.61,1.10,Odd
-8.99,-6.54,-15.53,-2.45,58.79,1.37,-0.18,-0.98,-1.00,0.00,-1.00,Odd
-1.86,5.81,3.95,-7.67,-10.81,-0.32,-0.72,-0.69,1.99,15.45,0.60,Even
-5.95,7.67,1.72,-13.62,-45.64,-0.78,0.99,-0.15,1.31,3.29,0.24,Even
3.6,-6.03,-2.43,9.63,-21.71,-0.60,-0.65,-0.76,-1.00,0.19,-1.00,Even
6.43,1.25,7.68,5.18,8.04,5.14,0.98,0.17,2.77,205.07,0.89,Even
9.92,2.64,12.56,7.28,26.19,3.76,-0.01,1.00,3.54,6038.61,1.10,Odd
-0.62,5.96,5.34,-6.58,-3.70,-0.10,-0.81,0.59,2.31,40.50,0.73,Even
1.45,6.7,8.15,-5.25,9.72,0.22,0.96,-0.29,2.85,284.05,0.91,Odd
7.41,-8.11,-0.70,15.52,-60.10,-0.91,-0.64,0.76,-1.00,0.62,-1.00,Even
6.37,0.66,7.03,5.71,4.20,9.65,0.68,0.73,2.65,130.69,0.85,Even
9.55,-3.47,6.08,13.02,-33.14,-2.75,-0.20,0.98,2.47,67.65,0.78,Odd
9.59,-6.11,3.48,15.70,-58.59,-1.57,-0.33,-0.94,1.87,11.16,0.54,Even
5.33,4.61,9.94,0.72,24.57,1.16,-0.49,-0.87,3.15,982.29,1.00,Even
0.34,-4.41,-4.07,4.75,-1.50,-0.08,0.80,-0.60,-1.00,0.06,-1.00,Even
-4.96,-4.3,-9.26,-0.66,21.33,1.15,-0.16,-0.99,-1.00,0.00,-1.00,Odd
-4.33,-4.99,-9.32,0.66,21.61,0.87,-0.10,-0.99,-1.00,0.00,-1.00,Odd
-4.74,-7.22,-11.96,2.48,34.22,0.66,0.57,0.82,-1.00,0.00,-1.00,Odd
-6.78,-7.81,-14.59,1.03,52.95,0.87,-0.90,-0.44,-1.00,0.00,-1.00,Even
0.4,5.02,5.42,-4.62,2.01,0.08,-0.76,0.65,2.33,42.81,0.73,Even
-5.49,1.88,-3.61,-7.37,-10.32,-2.92,0.45,-0.89,-1.00,0.08,-1.00,Odd
-6.18,4.97,-1.21,-11.15,-30.71,-1.24,-0.94,0.35,-1.00,0.43,-1.00,Odd
5.34,-9.98,-4.64,15.32,-53.29,-0.54,1.00,-0.07,-1.00,0.04,-1.00,Even
-4.6,6.54,1.94,-11.14,-30.08,-0.70,0.93,-0.36,1.39,3.84,0.29,Even
-6.6,-0.9,-7.50,-5.70,5.94,7.33,-0.94,0.35,-1.00,0.01,-1.00,Odd
-3.88,7.72,3.84,-11.60,-29.95,-0.50,-0.64,-0.77,1.96,14.32,0.58,Even
7.04,7.44,14.48,-0.40,52.38,0.95,0.94,-0.34,3.81,22851.48,1.16,Odd
-0.54,-4.23,-4.77,3.69,2.28,0.13,1.00,0.06,-1.00,0.04,-1.00,Even
-5.76,-1.75,-7.51,-4.01,10.08,3.29,-0.94,0.34,-1.00,0.01,-1.00,Odd
5.94,-8.92,-2.98,14.86,-52.98,-0.67,-0.16,-0.99,-1.00,0.13,-1.00,Even
0.43,-2.99,-2.56,3.42,-1.29,-0.14,-0.55,-0.84,-1.00,0.17,-1.00,Even
-8.15,7.08,-1.07,-15.23,-57.70,-1.15,-0.88,0.48,-1.00,0.48,-1.00,Odd
8.03,-9.85,-1.82,17.88,-79.10,-0.82,-0.97,-0.25,-1.00,0.28,-1.00,Odd
1.64,-3.02,-1.38,4.66,-4.95,-0.54,-0.98,0.19,-1.00,0.38,-1.00,Odd
-8.88,8.65,-0.23,-17.53,-76.81,-1.03,-0.23,0.97,-1.00,0.85,-1.00,Even
-8.12,-2.55,-10.67,-5.57,20.71,3.18,0.95,-0.32,-1.00,0.00,-1.00,Even
-9.69,-9.02,-18.71,-0.67,87.40,1.07,0.14,0.99,-1.00,0.00,-1.00,Even
5.8,-3.92,1.88,9.72,-22.74,-1.48,0.95,-0.30,1.37,3.68,0.27,Even
7.35,-0.2,7.15,7.55,-1.47,-36.75,0.76,0.65,2.67,142.02,0.85,Even
7.59,-2.58,5.01,10.17,-19.58,-2.94,-0.96,0.29,2.24,32.22,0.70,Even
8.74,-7.26,1.48,16.00,-63.45,-1.20,1.00,0.09,1.22,2.79,0.17,Even
-6.65,8.33,1.68,-14.98,-55.39,-0.80,0.99,-0.11,1.30,3.20,0.23,Even
-3.19,-8.94,-12.13,5.75,28.52,0.36,0.42,0.91,-1.00,0.00,-1.00,Even
1.65,-7.97,-6.32,9.62,-13.15,-0.21,-0.04,1.00,-1.00,0.01,-1.00,Even
-5.84,-8.59,-14.43,2.75,50.17,0.68,-0.96,-0.29,-1.00,0.00,-1.00,Even
-2.11,-7.83,-9.94,5.72,16.52,0.27,0.49,-0.87,-1.00,0.00,-1.00,Odd
-9.7,3.99,-5.71,-13.69,-38.70,-2.43,0.54,0.84,-1.00,0.02,-1.00,Odd
-2.79,1.21,-1.58,-4.00,-3.38,-2.31,-1.00,-0.01,-1.00,0.33,-1.00,Odd
-6.01,-3.47,-9.48,-2.54,20.85,1.73,0.06,-1.00,-1.00,0.00,-1.00,Odd
8.1,9.42,17.52,-1.32,76.30,0.86,-0.97,0.24,4.19,187951.38,1.24,Even
-5.38,9.24,3.86,-14.62,-49.71,-0.58,-0.66,-0.75,1.96,14.52,0.59,Even
0.37,-0.17,0.20,0.54,-0.06,-2.18,0.20,0.98,0.45,1.15,-0.70,Odd
-7.24,6.9,-0.34,-14.14,-49.96,-1.05,-0.33,0.94,-1.00,0.79,-1.00,Even
6.26,-5.25,1.01,11.51,-32.87,-1.19,0.85,0.53,1.00,2.01,0.00,Even
-3.61,-9.7,-13.31,6.09,35.02,0.37,-0.68,0.74,-1.00,0.00,-1.00,Odd
6.07,2.16,8.23,3.91,13.11,2.81,0.93,-0.37,2.87,300.25,0.92,Odd
-8.6,-0.98,-9.58,-7.62,8.43,8.78,0.15,-0.99,-1.00,0.00,-1.00,Odd
6.81,4.74,11.55,2.07,32.28,1.44,-0.85,0.53,3.40,2998.45,1.06,Even
-3.32,3.25,-0.07,-6.57,-10.79,-1.02,-0.07,1.00,-1.00,0.95,-1.00,Even
-7.72,-7.71,-15.43,-0.01,59.52,1.00,-0.27,-0.96,-1.00,0.00,-1.00,Odd
2.1,-1.18,0.92,3.28,-2.48,-1.78,0.80,0.61,0.96,1.89,-0.04,Odd
-6.85,2.33,-4.52,-9.18,-15.96,-2.94,0.98,-0.19,-1.00,0.04,-1.00,Even
4.46,-0.17,4.29,4.63,-0.76,-26.24,-0.91,-0.41,2.07,19.56,0.63,Odd
-3.49,6.88,3.39,-10.37,-24.01,-0.51,-0.25,-0.97,1.84,10.48,0.53,Even
8.69,-6.1,2.59,14.79,-53.01,-1.42,0.52,-0.85,1.61,6.02,0.41,Odd
5.13,-1.56,3.57,6.69,-8.00,-3.29,-0.42,-0.91,1.89,11.88,0.55,Even
3.21,-1.82,1.39,5.03,-5.84,-1.76,0.98,0.18,1.18,2.62,0.14,Even
-4.44,-2.75,-7.19,-1.69,12.21,1.61,-0.79,0.62,-1.00,0.01,-1.00,Odd
-9.58,5.42,-4.16,-15.00,-51.92,-1.77,0.85,-0.52,-1.00,0.06,-1.00,Even
0.82,8.12,8.94,-7.30,6.66,0.10,0.47,-0.88,2.99,491.14,0.95,Odd
0.94,5.22,6.16,-4.28,4.91,0.18,-0.12,0.99,2.48,71.51,0.79,Odd
-5.07,2.24,-2.83,-7.31,-11.36,-2.26,-0.31,-0.95,-1.00,0.14,-1.00,Even
-4.91,-5.17,-10.08,0.26,25.38,0.95,0.61,-0.79,-1.00,0.00,-1.00,Even
-8.22,8.08,-0.14,-16.30,-66.42,-1.02,-0.14,0.99,-1.00,0.91,-1.00,Even
4.98,-6.1,-1.12,11.08,-30.38,-0.82,-0.90,0.44,-1.00,0.46,-1.00,Odd
6.59,4.77,11.36,1.82,31.43,1.38,-0.93,0.36,3.37,2628.46,1.06,Even
5.99,-4.63,1.36,10.62,-27.73,-1.29,0.98,0.21,1.17,2.57,0.13,Even
0.37,8.75,9.12,-8.38,3.24,0.04,0.30,-0.95,3.02,556.41,0.96,Even
2.39,7.52,9.91,-5.13,17.97,0.32,-0.47,-0.88,3.15,962.07,1.00,Even
-2.86,3.31,0.45,-6.17,-9.47,-0.86,0.43,0.90,0.67,1.37,-0.35,Odd
5.18,-8.87,-3.69,14.05,-45.95,-0.58,0.52,-0.85,-1.00,0.08,-1.00,Odd
7.97,4.13,12.10,3.84,32.92,1.93,-0.45,0.89,3.48,4389.98,1.08,Odd
5.84,1.7,7.54,4.14,9.93,3.44,0.95,0.31,2.75,186.11,0.88,Even
5.73,-5.96,-0.23,11.69,-34.15,-0.96,-0.23,0.97,-1.00,0.85,-1.00,Even
-2.1,1.61,-0.49,-3.71,-3.38,-1.30,-0.47,0.88,-1.00,0.71,-1.00,Even
2.27,3.26,5.53,-0.99,7.40,0.70,-0.68,0.73,2.35,46.21,0.74,Even
-3.57,3.65,0.08,-7.22,-13.03,-0.98,0.08,1.00,0.28,1.06,-1.10,Odd
8.74,9.44,18.18,-0.70,82.51,0.93,-0.62,0.78,4.26,296978.71,1.26,Odd
7.73,6.57,14.30,1.16,50.79,1.18,0.99,-0.16,3.78,20171.07,1.16,Odd
